Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D41,D_Schottky,D_0603_1608Metric,138.141071,-121.613999,0.0,bottom
D42,D_Schottky,D_0603_1608Metric,138.75475,-101.036,0.0,bottom
D43,D_Schottky,D_0603_1608Metric,139.35,-120.475,180.0,top
D44,D_Schottky,D_0603_1608Metric,139.425,-101.525,180.0,top
D45,D_Schottky,D_0603_1608Metric,139.54,-82.325,180.0,top
D46,D_Schottky,D_0603_1608Metric,186.0375,-119.175,0.0,top
D47,D_Schottky,D_0603_1608Metric,183.705,-98.645,180.0,bottom
D48,D_Schottky,D_0603_1608Metric,186.4875,-121.125,180.0,bottom
D49,D_Schottky,D_0603_1608Metric,184.23,-82.35,0.0,top
D50,D_Schottky,D_0603_1608Metric,187.25,-99.875,0.0,top
R1,100,R_0603_1608Metric,141.675,-116.775,90.0,bottom
R2,10k,R_0603_1608Metric,138.403571,-118.875,0.0,bottom
R5,100,R_0603_1608Metric,141.55475,-95.911,90.0,bottom
R6,10k,R_0603_1608Metric,138.72975,-98.111,0.0,bottom
R9,100,R_0603_1608Metric,142.62225,-125.28625,-90.0,top
R10,10k,R_0603_1608Metric,139.35,-123.375,180.0,top
R13,100,R_0603_1608Metric,142.71475,-106.58225,-90.0,top
R14,10k,R_0603_1608Metric,139.4,-104.5,180.0,top
R17,100,R_0603_1608Metric,143.065,-87.525,-90.0,top
R18,10k,R_0603_1608Metric,139.59,-85.35,180.0,top
R21,100,R_0603_1608Metric,182.775,-124.225,-90.0,top
R22,10k,R_0603_1608Metric,186.025,-122.125,0.0,top
R25,100,R_0603_1608Metric,180.605,-93.645,90.0,bottom
R26,10k,R_0603_1608Metric,183.73,-95.795,180.0,bottom
R29,100,R_0603_1608Metric,182.825,-116.3,90.0,bottom
R30,10k,R_0603_1608Metric,186.475,-118.45,180.0,bottom
R33,100,R_0603_1608Metric,180.8,-87.85,-90.0,top
R34,10k,R_0603_1608Metric,184.175,-85.375,0.0,top
R37,100,R_0603_1608Metric,184.2,-105.025,-90.0,top
R38,10k,R_0603_1608Metric,187.275,-102.825,0.0,top
R71,1k,R_0603_1608Metric,143.9,-110.575,270.0,bottom
R72,1k,R_0603_1608Metric,144.40475,-89.636,270.0,bottom
R73,1k,R_0603_1608Metric,145.7,-131.75,90.0,top
R74,1k,R_0603_1608Metric,146.775,-112.775,90.0,top
R75,1k,R_0603_1608Metric,146.04,-93.725,90.0,top
R76,1k,R_0603_1608Metric,178.65,-130.25,90.0,top
R77,1k,R_0603_1608Metric,177.055,-87.82,270.0,bottom
R78,1k,R_0603_1608Metric,177.125,-108.85,270.0,bottom
R79,1k,R_0603_1608Metric,177.175,-92.725,90.0,top
R80,1k,R_0603_1608Metric,181.025,-111.2,90.0,top
R81,9k,R_0603_1608Metric,143.103571,-108.025,180.0,bottom
R82,9k,R_0603_1608Metric,143.52975,-86.086,180.0,bottom
R83,9k,R_0603_1608Metric,144.825,-134.625,0.0,top
R84,9k,R_0603_1608Metric,145.95,-115.775,0.0,top
R85,9k,R_0603_1608Metric,145.165,-96.35,0.0,top
R86,9k,R_0603_1608Metric,180.625,-133.825,180.0,top
R87,9k,R_0603_1608Metric,179.105,-84.07,0.0,bottom
R88,9k,R_0603_1608Metric,179.1,-105.875,0.0,bottom
R89,9k,R_0603_1608Metric,178.0,-95.425,180.0,top
R90,9k,R_0603_1608Metric,183.3,-114.375,180.0,top
R91,10k,R_0603_1608Metric,141.025,-110.6,270.0,bottom
R92,10k,R_0603_1608Metric,141.52975,-89.611,270.0,bottom
R93,10k,R_0603_1608Metric,142.875,-131.675,90.0,top
R94,10k,R_0603_1608Metric,144.15,-112.75,90.0,top
R95,10k,R_0603_1608Metric,143.19,-93.75,90.0,top
R96,10k,R_0603_1608Metric,181.475,-130.25,90.0,top
R97,10k,R_0603_1608Metric,179.93,-87.77,270.0,bottom
R98,10k,R_0603_1608Metric,180.0,-108.825,270.0,bottom
R99,10k,R_0603_1608Metric,180.15,-92.725,90.0,top
R100,10k,R_0603_1608Metric,184.125,-111.2,90.0,top
R101,2k,R_0603_1608Metric,128.75,-111.175,90.0,bottom
R102,2k,R_0603_1608Metric,129.20475,-89.961,90.0,bottom
R103,2k,R_0603_1608Metric,130.225,-131.175,-90.0,top
R104,2k,R_0603_1608Metric,130.5,-112.25,-90.0,top
R105,2k,R_0603_1608Metric,130.69,-92.525,-90.0,top
R106,2k,R_0603_1608Metric,195.3,-132.8,-90.0,top
R107,2k,R_0603_1608Metric,192.855,-85.245,90.0,bottom
R108,2k,R_0603_1608Metric,192.55,-107.7,90.0,bottom
R109,2k,R_0603_1608Metric,190.675,-95.225,-90.0,top
R110,2k,R_0603_1608Metric,195.95,-114.225,-90.0,top
U22,ADA4897-1ARJZ-R7,SOT95P280X145-6N,137.675,-106.75,180.0,bottom
U23,ADA4897-1ARJZ-R7,SOT95P280X145-6N,138.5525,-85.87,180.0,bottom
U24,ADA4897-1ARJZ-R7,SOT95P280X145-6N,140.005,-136.6,0.0,top
U25,ADA4897-1ARJZ-R7,SOT95P280X145-6N,139.805,-116.41,0.0,top
U26,ADA4897-1ARJZ-R7,SOT95P280X145-6N,140.265,-97.69,0.0,top
U27,ADA4897-1ARJZ-R7,SOT95P280X145-6N,184.95,-135.095,-90.0,top
U28,ADA4897-1ARJZ-R7,SOT95P280X145-6N,184.355,-82.2875,90.0,bottom
U29,ADA4897-1ARJZ-R7,SOT95P280X145-6N,184.5,-105.0875,90.0,bottom
U30,ADA4897-1ARJZ-R7,SOT95P280X145-6N,182.7,-97.655,-90.0,top
U31,ADA4897-1ARJZ-R7,SOT95P280X145-6N,188.15,-115.7875,-90.0,top
