Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,22 µF,D_0603_1608Metric,195.7746,-143.0743,90,top
C2,22 µF,D_0603_1608Metric,195.9016,-149.0434,90,top
C3,0.01u,C_0603_1608Metric,118.635,-111.155,180,top
C4,10u,C_0603_1608Metric,118.0612,-98.219,180,top
C5,0.01u,C_0603_1608Metric,148.8206,-111.3508,180,top
C6,10u,C_0603_1608Metric,146.69,-97.97,180,top
C7,0.01u,C_0603_1608Metric,138.18,-111.155,180,top
C8,10u,C_0603_1608Metric,138.178,-98.092,0,top
C9,0.01u,C_0603_1608Metric,128.02,-111.155,180,top
C10,10u,C_0603_1608Metric,128.145,-97.9904,180,top
D1,"PMEG3050EP,115",D_SOD-128,187.6212,-144.7,90,top
D2,"PMEG3050EP,116",D_SOD-128,183.1,-144.7,90,top
D3,"PMEG3050EP,117",D_SOD-128,192.2694,-144.6492,-90,top
D4,"PMEG3050EP,118",D_SOD-128,173.9814,-144.5222,90,top
D5,"PMEG3050EP,119",D_SOD-128,178.5026,-144.446,90,top
D6,"PMEG3050EP,120",D_SOD-128,169.511,-144.7,-90,top
FB1,GZ1608D121TF,C_0603_1608Metric,119.9916,-114.348,90,top
FB2,GZ1608D121TF,C_0603_1608Metric,117.7056,-114.2972,90,top
FB3,GZ1608D121TF,C_0603_1608Metric,149.4048,-114.2718,90,top
FB4,GZ1608D121TF,C_0603_1608Metric,147.322,-114.3226,90,top
FB5,GZ1608D121TF,C_0603_1608Metric,138.7368,-114.5766,90,top
FB6,GZ1608D121TF,C_0603_1608Metric,136.5016,-114.5766,90,top
FB7,GZ1608D121TF,C_0603_1608Metric,129.7452,-114.5512,90,top
FB8,GZ1608D121TF,C_0603_1608Metric,127.5354,-114.5004,90,top
R1,1k,D_0603_1608Metric,199.6354,-142.9982,-90,top
R2,1k,D_0603_1608Metric,199.5846,-148.9672,90,top
R3,10k,R_0603_1608Metric,122.94,-106.075,-90,top
R4,10k,R_0603_1608Metric,152.9354,-106.4232,-90,top
R5,10k,R_0603_1608Metric,143.4886,-106.265,-90,top
R6,10k,R_0603_1608Metric,133.1,-106.075,-90,top
U1,MAX31855KASA+T,SOIC-8_3.9x4.9mm_P1.27mm,117.86,-106.075,90,top
U2,MAX31855KASA+T,SOIC-8_3.9x4.9mm_P1.27mm,148.1348,-106.3216,90,top
U3,MAX31855KASA+T,SOIC-8_3.9x4.9mm_P1.27mm,138.18,-106.075,90,top
U4,MAX31855KASA+T,SOIC-8_3.9x4.9mm_P1.27mm,128.02,-106.075,90,top
