Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22 µF","D_0603_1608Metric",195.774600,-143.074300,90.000000,top
"C2","22 µF","D_0603_1608Metric",195.901600,-149.043400,90.000000,top
"C3","0.01u","C_0603_1608Metric",118.635000,-111.155000,180.000000,top
"C4","10u","C_0603_1608Metric",121.880000,-110.215000,-90.000000,top
"C5","0.01u","C_0603_1608Metric",148.820600,-111.350800,180.000000,top
"C6","10u","C_0603_1608Metric",152.360000,-110.355000,-90.000000,top
"C7","0.01u","C_0603_1608Metric",138.180000,-111.155000,180.000000,top
"C8","10u","C_0603_1608Metric",142.200000,-110.990000,-90.000000,top
"C9","0.01u","C_0603_1608Metric",128.020000,-111.155000,180.000000,top
"C10","10u","C_0603_1608Metric",132.040000,-110.355000,-90.000000,top
"D1","D_Schottky","D_SOD-128",187.621200,-144.700000,90.000000,top
"D2","D_Schottky","D_SOD-128",183.100000,-144.700000,90.000000,top
"D3","D_Schottky","D_SOD-128",192.269400,-144.649200,-90.000000,top
"D4","D_Schottky","D_SOD-128",173.981400,-144.522200,90.000000,top
"D5","D_Schottky","D_SOD-128",178.502600,-144.446000,90.000000,top
"D6","D_Schottky","D_SOD-128",169.511000,-144.700000,-90.000000,top
"D7","D_Schottky","D_SOD-128",176.600000,-111.400000,0.000000,top
"D8","D_Schottky","D_SOD-128",176.600000,-115.450000,0.000000,top
"FB1","FerriteBead_Small","C_0603_1608Metric",119.991600,-114.348000,90.000000,top
"FB2","FerriteBead_Small","C_0603_1608Metric",117.705600,-114.297200,90.000000,top
"FB3","FerriteBead_Small","C_0603_1608Metric",149.404800,-114.271800,90.000000,top
"FB4","FerriteBead_Small","C_0603_1608Metric",147.322000,-114.322600,90.000000,top
"FB5","FerriteBead_Small","C_0603_1608Metric",138.736800,-114.576600,90.000000,top
"FB6","FerriteBead_Small","C_0603_1608Metric",136.501600,-114.576600,90.000000,top
"FB7","FerriteBead_Small","C_0603_1608Metric",129.745200,-114.551200,90.000000,top
"FB8","FerriteBead_Small","C_0603_1608Metric",127.535400,-114.500400,90.000000,top
"G***","LOGO","star_8x7",212.000000,-88.100000,0.000000,top
"J1","Stack_Shape","Stack_Shape",172.600000,-106.770000,90.000000,top
"R1","1k","D_0603_1608Metric",199.635400,-142.998200,-90.000000,top
"R2","1k","D_0603_1608Metric",199.584600,-148.967200,90.000000,top
"R3","10k","R_0603_1608Metric",122.940000,-106.075000,-90.000000,top
"R4","10k","R_0603_1608Metric",152.935400,-106.423200,-90.000000,top
"R5","10k","R_0603_1608Metric",143.488600,-106.265000,-90.000000,top
"R6","10k","R_0603_1608Metric",133.100000,-106.075000,-90.000000,top
"U1","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",117.860000,-106.075000,90.000000,top
"U2","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",148.134800,-106.321600,90.000000,top
"U3","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",138.180000,-106.075000,90.000000,top
"U4","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",128.020000,-106.075000,90.000000,top
