Designator,Mid X,Mid Y,Rotation,Layer
C1,156.54,-126.165,180.0,top
C10,142.405,-37.225,270.0,top
C11,85.3,-81.35,90.0,top
C12,92.25,-75.6,180.0,top
C13,99.5,-128.19,180.0,top
C14,94.4,-131.85,180.0,top
C15,98.875,-119.44,90.0,top
C16,98.875,-123.09,90.0,top
C17,127.265,-135.55,180.0,top
C18,122.165,-139.21,180.0,top
C19,126.64,-126.8,90.0,top
C2,151.44,-129.825,180.0,top
C20,126.64,-130.45,90.0,top
C21,156.56,-100.825,180.0,top
C22,151.46,-104.485,180.0,top
C23,155.935,-92.075,90.0,top
C24,155.935,-95.725,90.0,top
C25,128.5575,-108.39,180.0,top
C26,123.4575,-112.05,180.0,top
C27,127.9325,-99.64,90.0,top
C28,127.9325,-103.29,90.0,top
C3,155.915,-117.415,90.0,top
C4,155.915,-121.065,90.0,top
C5,99.7325,-105.017,180.0,top
C6,94.6325,-108.677,180.0,top
C7,99.1075,-96.267,90.0,top
C8,99.1075,-99.917,90.0,top
C9,141.77,-47.385,270.0,top
D1,121.7,-42.5,0.0,top
D2,137.325,-35.025,270.0,top
D3,92.1125,-70.6,180.0,top
J1,130.00706,-92.972349,0.0,top
J10,120.79,-80.766,0.0,top
J11,133.515,-27.7,180.0,top
J2,165.765,-125.715,180.0,top
J3,126.4,-37.92,0.0,top
J5,108.9575,-104.567,180.0,top
J6,108.725,-127.74,180.0,top
J7,136.49,-135.1,180.0,top
J8,165.785,-100.375,180.0,top
J9,137.7825,-107.94,180.0,top
Q1,156.9275,-130.075,180.0,top
Q2,100.12,-108.927,180.0,top
Q3,99.8875,-132.1,180.0,top
Q4,127.6525,-139.46,180.0,top
Q5,156.9475,-104.735,180.0,top
Q6,128.945,-112.3,180.0,top
R1,109.4825,-95.422,180.0,top
R13,159.365,-116.565,0.0,top
R14,159.39,-119.065,0.0,top
R15,156.565,-123.965,180.0,top
R16,160.115,-124.915,90.0,top
R17,102.5575,-95.417,0.0,top
R18,102.5825,-97.917,0.0,top
R19,99.7575,-102.817,180.0,top
R20,103.3075,-103.767,90.0,top
R21,140.135,-41.035,0.0,top
R22,86.8125,-70.55,180.0,top
R23,102.325,-118.59,0.0,top
R24,102.35,-121.09,0.0,top
R25,99.525,-125.99,180.0,top
R26,103.075,-126.94,90.0,top
R27,130.09,-125.95,0.0,top
R28,130.115,-128.45,0.0,top
R29,127.29,-133.35,180.0,top
R30,130.84,-134.3,90.0,top
R31,159.385,-91.225,0.0,top
R32,159.41,-93.725,0.0,top
R33,156.585,-98.625,180.0,top
R34,160.135,-99.575,90.0,top
R35,131.3825,-98.79,0.0,top
R36,131.4075,-101.29,0.0,top
R37,128.5825,-106.19,180.0,top
R38,132.1325,-107.14,90.0,top
R39,166.29,-116.57,180.0,top
R4,106.0825,-96.167,90.0,top
R40,162.89,-117.315,90.0,top
R41,109.25,-118.595,180.0,top
R42,105.85,-119.34,90.0,top
R43,137.015,-125.955,180.0,top
R44,133.615,-126.7,90.0,top
R45,166.31,-91.23,180.0,top
R46,162.91,-91.975,90.0,top
R47,138.3075,-98.795,180.0,top
R48,134.9075,-99.54,90.0,top
SW1,149.355,-38.745,0.0,top
SW2,149.615,-49.33,0.0,top
U1,92.8825,-101.017,90.0,top
U10,109.341279,-51.799857,45.0,top
U2,121.7075,-104.39,90.0,top
U3,149.71,-96.825,90.0,top
U4,92.65,-124.19,90.0,top
U5,120.415,-131.55,90.0,top
U6,149.69,-122.165,90.0,top
U9,94.565,-81.425,0.0,top
